"ID","Name","VendorID","MaxCount","IsMandatory","Status"
"850","Dressings","4000195","1","1","1"
"851","Sides","4000195","2","1","1"
"852","Rice","4000190","1","1","1"
"853","Spiciness","4000190","1","1","1"
"854","Meat","4000190","1","1","1"
"855","Choice of Meat","4000196","1","1","1"
"856","Choice of Burger","4000197","1","1","1"
"857","Size","4000197","1","1","1"
"858","Rice","4000198","1","1","1"
"859","Beans","4000198","1","1","1"
"860","Salsa","4000198","1","1","1"
"861","Extra Fillings","4000198","1","1","1"
"862","Sides","4000198","1","0","1"
"863","Fruit Addon","4000199","1","0","1"
"864","Sides","4000191","1","1","1"
"865","Add Extra Cookie","4000137","1","0","1"
"866","Choose your Base","4000200","2","1","1"
"867","Poached Chicken options","4000200","1","1","1"
"868","Sauce","4000200","2","1","1"
"869","Stuff it!","4000202","10","1","1"
"870","Make it a Bowl!","4000202","1","0","1"
"871","Add a Pita","4000202","1","0","1"
"872","Fresh-Baked Bread","4000195","1","1","1"
"873","Choice of Sides","4000195","2","1","1"
"874","Choice of sauce","4000205","1","1","1"
"875","Select Meat Type","4000205","1","1","1"
"876","Select Side","4000205","1","1","1"
"877","Select filling Type","4000205","1","1","1"
"878","Add Meat:","4000205","1","1","1"
"879","Please select your subs","4000208","4","1","1"
"880","Please choose your Salad","4000208","1","1","1"
"881","Select sausage","4000209","1","1","1"
"882","Select Quesailla Type","4000210","1","1","1"
"883","Select 2 proteins","4000210","2","1","1"
"884","Select 2 sides","4000210","1","1","1"
"885","Select upto 3 Burritos","4000210","3","1","1"
"886","Add","4000210","1","0","1"
"887","Dressing (12 oz)","4000212","1","1","1"
"888","Avocado","4000211","1","0","1"
"889","Chicken","4000211","1","0","1"
"890","Toppings","4000211","2","0","1"
"891","Add rice","4000119","1","0","1"
"892","Filling","4000187","1","1","1"
